id,award,user_created
nathaniel_lowe_pos_26,Silver Slugger,MLB
paul_goldschmidt_pos_34,Silver Slugger,MLB
jose_altuve_pos_32,Silver Slugger,MLB
jeff_mcneil_pos_30,Silver Slugger,MLB
xander_bogaerts_pos_29,Silver Slugger,MLB
trea_turner_pos_29,Silver Slugger,MLB
jose_ramirez_pos_29,Silver Slugger,MLB
nolan_arenado_pos_31,Silver Slugger,MLB
aaron_judge_pos_30,Silver Slugger,MLB
julio_rodriguez_pos_21,Silver Slugger,MLB
mike_trout_pos_30,Silver Slugger,MLB
mookie_betts_pos_29,Silver Slugger,MLB
kyle_schwarber_pos_29,Silver Slugger,MLB
juan_soto_pos_23,Silver Slugger,MLB
alejandro_kirk_pos_23,Silver Slugger,MLB
jt_realmuto_pos_31,Silver Slugger,MLB
yordan_alvarez_pos_25,Silver Slugger,MLB
josh_bell_pos_29,Silver Slugger,MLB
luis_arraez_pos_25,Silver Slugger,MLB
brandon_drury_pos_29,Silver Slugger,MLB
aaron_judge_pos_30,AL MVP,MLB
paul_goldschmidt_pos_34,NL MVP,MLB
justin_verlander_pit_39,Cy Young,MLB
sandy_alcantara_pit_26,Cy Young,MLB
julio_rodriguez_pos_21,Rookie,MLB
michael_harris_ii_pos_21,Rookie,MLB
aaron_judge_pos_30,Hank Aaron,MLB
paul_goldschmidt_pos_34,Hank Aaron,MLB
jose_trevino_pos_29,Gold Glove,MLB
vladimir_guerrero_jr_pos_23,Gold Glove,MLB
andres_gimenez_pos_23,Gold Glove,MLB
ramon_urias_pos_28,Gold Glove,MLB
jeremy_pena_pos_24,Gold Glove,MLB
steven_kwan_pos_24,Gold Glove,MLB
myles_straw_pos_27,Gold Glove,MLB
kyle_tucker_pos_25,Gold Glove,MLB
shane_bieber_pit_27,Gold Glove,MLB
dj_lemahieu_pos_33,Gold Glove,MLB
jt_realmuto_pos_31,Gold Glove,MLB
christian_walker_pos_31,Gold Glove,MLB
brendan_rodgers_pos_25,Gold Glove,MLB
nolan_arenado_pos_31,Gold Glove,MLB
dansby_swanson_pos_28,Gold Glove,MLB
ian_happ_pos_27,Gold Glove,MLB
trent_grisham_pos_25,Gold Glove,MLB
mookie_betts_pos_29,Gold Glove,MLB
max_fried_pit_28,Gold Glove,MLB
brendan_donovan_pos_25,Gold Glove,MLB
jose_trevino_pos_29,Platinum Glove,MLB
nolan_arenado_pos_31,Platinum Glove,MLB
edwin_diaz_pit_28,Reliever,MLB
emmanuel_clase_pit_24,Reliever,MLB
jeremy_pena_pos_24,ALCS MVP,MLB
bryce_harper_pos_29,NLCS MVP,MLB
jeremy_pena_pos_24,WS MVP,MLB
jt_realmuto_pos_31,First Team,MLB
paul_goldschmidt_pos_34,First Team,MLB
jose_altuve_pos_32,First Team,MLB
trea_turner_pos_29,First Team,MLB
manny_machado_pos_29,First Team,MLB
aaron_judge_pos_30,First Team,MLB
mookie_betts_pos_29,First Team,MLB
mike_trout_pos_30,First Team,MLB
yordan_alvarez_pos_25,First Team,MLB
sandy_alcantara_pit_26,First Team,MLB
shohei_ohtani_pos_27,First Team,MLB
justin_verlander_pit_39,First Team,MLB
framber_valdez_pit_28,First Team,MLB
alek_manoah_pit_24,First Team,MLB
edwin_diaz_pit_28,First Team,MLB
emmanuel_clase_pit_24,First Team,MLB
will_smith_pos_27,Second Team,MLB
freddie_freeman_pos_32,Second Team,MLB
andres_gimenez_pos_23,Second Team,MLB
francisco_lindor_pos_28,Second Team,MLB
nolan_arenado_pos_31,Second Team,MLB
julio_rodriguez_pos_21,Second Team,MLB
kyle_schwarber_pos_29,Second Team,MLB
kyle_tucker_pos_25,Second Team,MLB
shohei_ohtani_pit_27,Second Team,MLB
julio_urias_pit_25,Second Team,MLB
dylan_cease_pit_26,Second Team,MLB
max_fried_pit_28,Second Team,MLB
aaron_nola_pit_29,Second Team,MLB
max_scherzer_pit_37,Second Team,MLB
ryan_helsley_pit_27,Second Team,MLB
ryan_pressly_pit_33,Second Team,MLB
